epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2230.11,1.03782,0.66765,1.10691,0.9191,0.90204,0.94083,0.63754,1.08892,0.5698,1.13201,0.000313729,0.000313729,0.000313729
84,2255.78,1.02198,0.66,1.10804,0.91622,0.90216,0.93841,0.63284,1.09579,0.57351,1.14106,0.000297226,0.000297226,0.000297226
85,2282.4,1.01657,0.64437,1.10445,0.9242,0.89821,0.94093,0.64032,1.0928,0.57361,1.13817,0.000280723,0.000280723,0.000280723
86,2309.67,1.00597,0.64321,1.09691,0.92622,0.9021,0.94048,0.64402,1.08344,0.56704,1.1328,0.00026422,0.00026422,0.00026422
87,2336.15,1.00781,0.64608,1.09238,0.93059,0.89083,0.93815,0.6438,1.08135,0.57582,1.13251,0.000247716,0.000247716,0.000247716
88,2362.78,0.99575,0.63742,1.08647,0.93773,0.89773,0.94682,0.64544,1.07377,0.56839,1.12432,0.000231213,0.000231213,0.000231213
89,2390.14,0.99894,0.62853,1.08939,0.93101,0.89567,0.94404,0.64601,1.08227,0.57008,1.12849,0.00021471,0.00021471,0.00021471
90,2417.78,1.00644,0.6279,1.09017,0.92668,0.89346,0.94228,0.64083,1.09662,0.57138,1.13439,0.000198206,0.000198206,0.000198206
91,2461.45,0.93619,0.5282,1.05103,0.93072,0.89655,0.93935,0.64312,1.08579,0.57139,1.13416,0.000181703,0.000181703,0.000181703
92,2486.16,0.93318,0.50988,1.04693,0.93339,0.89172,0.93906,0.64275,1.08732,0.57646,1.134,0.0001652,0.0001652,0.0001652
93,2510.65,0.90173,0.50029,1.03129,0.93101,0.89342,0.94024,0.64392,1.08631,0.56907,1.13412,0.000148696,0.000148696,0.000148696
94,2535.87,0.90393,0.49027,1.03822,0.92747,0.90385,0.94156,0.64706,1.08333,0.56408,1.12873,0.000132193,0.000132193,0.000132193
95,2561.2,0.90141,0.48406,1.03149,0.93818,0.89418,0.94062,0.6449,1.08057,0.5642,1.12672,0.00011569,0.00011569,0.00011569
96,2587.66,0.89138,0.47827,1.02662,0.94011,0.8975,0.94343,0.64656,1.07937,0.56266,1.12923,9.91865e-05,9.91865e-05,9.91865e-05
97,2612.72,0.89344,0.48261,1.02669,0.9425,0.90073,0.94471,0.64865,1.07572,0.55674,1.13045,8.26832e-05,8.26832e-05,8.26832e-05
98,2638.98,0.88409,0.48006,1.02164,0.93434,0.90999,0.94513,0.65225,1.07124,0.55141,1.1285,6.61799e-05,6.61799e-05,6.61799e-05
99,2664.46,0.8823,0.47111,1.02142,0.938,0.90311,0.94589,0.65059,1.07599,0.55125,1.13275,4.96766e-05,4.96766e-05,4.96766e-05
100,2689.37,0.87757,0.46872,1.01677,0.93527,0.90414,0.94474,0.65144,1.07326,0.55287,1.12975,3.31733e-05,3.31733e-05,3.31733e-05
